Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
COM7,SET50 / SETTHSI / SETWB    ,31.25,43.75,26.25,24.56,11.75,600.00,74999.95,538.47,1.49
COTTO,SET    ,2.06,2.74,1.92,21.52,1.30,5962.62,12283.00,6.87,1.18
CPALL,SET50 / SETTHSI / SETWB    ,68.75,73.75,52.75,36.68,6.26,8983.10,617588.22,2029.56,1.00
CPF,SET50 / SETCLMV / SETHD / SETTHSI / SETWB    ,23.60,27.00,22.70,10.46,0.77,8611.24,203225.32,442.47,0.77
CPN,SET50 / SETTHSI    ,70.50,73.00,51.50,32.26,3.99,2244.00,316404.00,457.96,1.23
CPNCG,SET    ,11.60,12.70,10.40,999.99,1.01,4394.38,4949.01,2.33,0.36
CPNREIT,SET    ,19.50,21.30,17.90,999.99,999.99,30919.64,50076.66,33.41,0.31
CPTGF,SET    ,7.35,8.70,7.00,999.99,0.71,9751.42,7107.45,1.93,0.20
CRC,SET50 / SETCLMV / SETTHSI / SETWB    ,43.75,48.00,33.00,42.32,4.13,6031.00,263856.25,553.19,1.27
DCC,SET    ,2.82,3.18,2.58,15.35,4.40,912.56,25734.22,22.11,0.56
DCON,SET    ,0.43,0.58,0.36,17.16,0.92,538.63,2316.13,2.06,1.20
DELTA,SET50 / SETTHSI    ,872.00,990.00,287.00,82.10,21.13,1247.38,1087716.77,3648.25,3.24
DIF,SET    ,13.70,14.50,13.00,999.99,0.83,106316.54,145653.66,102.14,0.29
DOHOME,SET100 / SETWB    ,13.80,23.30,12.20,34.63,3.44,2906.74,40113.02,171.81,1.36
DRT,sSET / SETCLMV / SETTHSI    ,8.30,8.90,6.90,11.82,3.16,855.03,7096.77,1.65,0.58
DTAC,SET50 / SETTHSI    ,49.50,51.50,39.75,49.05,6.55,4735.62,117206.64,531.41,0.95
EA,SET50 / SETTHSI    ,85.75,101.00,76.50,43.73,8.74,373.00,319847.50,984.20,1.29
EASTW,sSET / SETTHSI    ,5.45,9.50,4.90,11.15,0.80,1663.73,9067.30,11.08,0.75
ECL,SET    ,2.04,3.46,1.80,10.60,1.24,1108.86,2262.07,19.16,1.58
EGATIF,SET    ,6.95,12.00,6.45,999.99,0.76,18686.08,14494.23,5.09,0.31
EGCO,SET50 / SETCLMV / SETHD / SETTHSI    ,176.00,190.00,159.50,23.88,0.71,5264.65,92657.84,168.82,0.51
EPG,SET100 / SETTHSI    ,8.55,10.90,8.35,17.72,2.00,2800.00,23940.00,37.80,1.26
ESSO,SET100    ,9.40,15.00,7.20,2.75,1.13,17075.18,32532.07,760.08,1.10
FORTH,SET100    ,42.50,64.00,18.80,49.41,20.60,480.00,40800.00,200.88,1.23
FPT,SET    ,15.30,15.60,13.00,14.40,0.98,2319.28,35484.94,1.32,0.31
FSMART,mai    ,16.80,28.00,10.00,38.55,11.79,390.00,13104.00,140.11,1.41
GC,SET    ,5.70,7.45,5.09,14.44,4.60,220.00,2508.00,0.34,1.07
GFPT,SETTHSI    ,13.50,18.70,11.80,10.28,1.06,1253.82,16926.58,66.31,0.71
GGC,SET    ,15.00,16.30,12.40,17.23,1.49,9724.83,15355.00,1.72,0.72
